               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  72,            0.048201,            0.056737,             0.02186,              0.9572,             0.92121,             0.95422,             0.68795,            0.041035,            0.033761,            0.013948,           0.0088124,           0.0088124,           0.0088124
                  73,            0.047163,            0.057039,            0.021922,             0.93458,             0.92231,             0.93547,             0.63216,              0.0451,            0.034021,            0.013703,           0.0087804,           0.0087804,           0.0087804
                  74,            0.047866,            0.056048,            0.020468,              0.9604,             0.92662,             0.95005,             0.57526,            0.041268,            0.033597,            0.013789,           0.0087479,           0.0087479,           0.0087479
                  75,            0.049704,            0.058504,            0.021927,             0.94506,             0.90737,             0.92772,             0.52877,            0.043713,            0.035663,             0.01352,           0.0087151,           0.0087151,           0.0087151
                  76,            0.046588,            0.057976,            0.020368,             0.98736,             0.92189,             0.96694,             0.69411,            0.033944,             0.03213,            0.012709,            0.008682,            0.008682,            0.008682
                  77,            0.045149,            0.054536,            0.019783,             0.99502,             0.89318,             0.95186,             0.60001,            0.041584,            0.034171,            0.013108,           0.0086485,           0.0086485,           0.0086485
                  78,            0.049683,            0.056262,            0.019658,             0.95015,             0.94903,             0.96265,              0.5989,            0.039235,            0.033482,            0.012244,           0.0086146,           0.0086146,           0.0086146
                  79,            0.047776,            0.060017,            0.020995,             0.96011,             0.92448,             0.96827,             0.68662,            0.033084,            0.032338,            0.014545,           0.0085805,           0.0085805,           0.0085805
                  80,            0.043394,            0.056943,            0.019675,             0.97638,             0.93162,             0.96804,             0.70813,            0.031974,             0.03187,            0.012722,           0.0085459,           0.0085459,           0.0085459
                  81,            0.044549,            0.057994,            0.020129,             0.97529,             0.95748,             0.96936,             0.63263,            0.038908,            0.032665,            0.012175,           0.0085111,           0.0085111,           0.0085111
                  82,            0.047508,            0.061011,            0.020218,             0.97653,             0.94074,             0.96578,             0.63416,            0.036165,            0.032845,            0.012251,           0.0084759,           0.0084759,           0.0084759
